Tmdbid,Title,Genre1,Genre2,Genre3,Genre4,Genre5,TmdbVote,Keywords
614696,#Alive,Action,Horror,Thriller,,,7.3,"seoul, south korea,alone,survival,escape,drone,zombie,apartment,zombie apocalypse,virus,live stream,boy,girl"
606966,#FollowMe,Horror,Thriller,,,,5,"serial killer,killer,found footage,social media,youtuber,social media influencer,influencer"
419627,#SCREAMERS,Horror,,,,,4.4,found footage
9805,(T)Raumschiff Surprise - Periode 1,Comedy,Science Fiction,,,,6.2,"taxi driver,space marine,future,space travel,time travel,spoof"
11548,*batteries not included,Science Fiction,Comedy,Family,Fantasy,,6.6,"new york city,extraterrestrial technology,spacecraft,alien life-form,alien phenomenons,apartment building,elderly couple,property development"
8329,[REC],Horror,Mystery,,,,7.2,"obsession,camcorder,religion and supernatural,bite,cinematographer,attempt to escape,lodger,live-reportage,found footage,firefighter"
10664,[REC]²,Thriller,Horror,,,,6.6,"religion and supernatural,blood sample,occult,swat team,gas mask,night vision,freezer,found footage"
80280,[REC]³ Genesis,Horror,,,,,5.1,"religion and supernatural,infection,sequel,demon,demonic possession,flesh eating,spanish horror"
185341,[REC]⁴ Apocalypse,Thriller,Horror,,,,5.5,"religion and supernatural,sequel,soldier,occult,demonic possession"
176068,+1,Thriller,Science Fiction,,,,5.3,"college,chaos,party,violence"
127544,009 Re:Cyborg,Action,Animation,Science Fiction,,,5.2,"cyborg,futuristic"
333371,10 Cloverfield Lane,Thriller,Science Fiction,Drama,Horror,,7,"kidnapping,bunker,paranoia,basement,survivalist,apocalypse,car accident,captive"
7840,"10,000 BC",Adventure,Action,Drama,Fantasy,,5.4,"hunter,indigenous,lover (female),pyramid,mammoth,sapient,mountain village,stone age,fighter,primitive time,saber-toothed tiger,prehistoric adventure"
302666,10.0 Earthquake,Drama,Adventure,Action,,,4.8,"earthquake,los angeles, california"
126757,100 Bloody Acres,Comedy,Horror,,,,5.9,"brother,australia,murder,gore,dog,incest"
182228,100 Degrees Below Zero,Action,Science Fiction,,,,4.4,"europe,iceland,escape,disaster movie,volcanic ash,cold snap"
14098,100 Feet,Horror,Thriller,,,,5.5,"house arrest,haunting,vengeful ghost"
16123,100 Million BC,Science Fiction,Action,Adventure,,,3.3,"tyrannosaurus rex,time travel,dinosaur,los angeles, california,time portal"
13197,10th & Wolf,Action,Crime,Drama,Mystery,Thriller,6,"philadelphia, pennsylvania,undercover,mafia,mobster,crime family"
16843,11:11,Horror,Thriller,,,,3.6,"college,premonition"
51248,11-11-11,Horror,Thriller,,,,4.6,sibling relationship
459928,12 Feet Deep,Thriller,Horror,,,,5.4,"sibling relationship,strong woman,forgiveness,sister,family secrets,swimming pool,based on a true story,survival,female protagonist,trapped,endurance,diabetic,female empowerment,determination,wicked woman"
17134,12 Rounds,Action,Thriller,Crime,,,5.8,"police,cop,revenge,cat and mouse,family"
195269,12 Rounds 2: Reloaded,Action,Adventure,,,,5.5,"sequel,revenge,cat and mouse,family,paramedic,emergency services"
351901,12 Rounds 3: Lockdown,Action,Thriller,Crime,,,5.7,"revenge,cat and mouse,family"
429351,12 Strong,War,Drama,Action,History,,6.1,"cia,based on novel or book,afghanistan,taliban,based on a true story,post 9/11"
17803,12:01,Science Fiction,Thriller,,,,6.4,"time travel,time loop"
58857,13 Assassins,Adventure,Drama,Action,,,7.3,"japan,suicide,assassin,samurai,immortality,mission,swordsman,massacre,battle,violence,samurai sword,seppuku,code of honor,ronin,kimono,warrior,19th century,harakiri"
347751,13 Cameras,Drama,Horror,Crime,,,5.1,"video surveillance,bad landlord"
