Tmdbid,Title,Genre1,Genre2,Genre3,Genre4,Genre5,TmdbVote,Keywords
85271,WandaVision,Sci-Fi & Fantasy,Mystery,Comedy,Drama,,8.4,"superhero,supernatural,based on comic,suburbia,marvel cinematic universe,sitcom"
69050,Riverdale,Mystery,Drama,Crime,,,8.6,"high school,small town,love triangle,killing,based on comic,school,grudge"
114695,Marvel Studios: Legends,Documentary,,,,,7.7,clip show
79460,Legacies,Sci-Fi & Fantasy,Drama,,,,8.6,"witch,vampire,supernatural,werewolf,teenager,spin off"
71712,The Good Doctor,Drama,,,,,8.6,"nurse,san francisco, california,autism,medicine,remake,hospital,medical drama,medical,nurses / doctors,based on tv series"
82856,The Mandalorian,Sci-Fi & Fantasy,Action & Adventure,,,,8.5,"bounty hunter,space western,space opera"
97175,Fate: The Winx Saga,Sci-Fi & Fantasy,Drama,,,,8.6,witch
77169,Cobra Kai,Action & Adventure,Drama,,,,8.2,"karate,rivalry,dojo"
44217,Vikings,Action & Adventure,Drama,,,,8,"scandinavia,viking,historical fiction,violence,middle ages,norse mythology,historical drama,warrior,8th century"
79680,Snowpiercer,Sci-Fi & Fantasy,,,,,7.6,"dystopia,post-apocalyptic future,train,based on graphic novel"
96677,Lupin,Crime,Drama,Mystery,,,8,dramedy
1416,Grey's Anatomy,Drama,,,,,8.2,"seattle,trauma,workplace,hospital,doctor,medical student,surgical interns,medical drama"
63174,Lucifer,Crime,Sci-Fi & Fantasy,,,,8.5,"dc comics,based on comic,los angeles, california,devil,lapd"
79611,Charmed,Drama,Sci-Fi & Fantasy,,,,7.5,"witch,reboot"
46639,American Gods,Drama,Mystery,Sci-Fi & Fantasy,,,7.1,"based on novel or book,allegory,mythology,con man,road trip,mysterious man,conspiracy,ex-con,gods,folklore"
75006,The Umbrella Academy,Action & Adventure,Sci-Fi & Fantasy,Drama,,,8.7,"hero,superhero,time travel,dysfunctional family,based on comic,super power,team,end of world,friendly ghost,siblings,authoritarian father,talking monkey"
91239,Bridgerton,Drama,,,,,8.3,"based on novel or book,period drama,georgian or regency era"
79242,Chilling Adventures of Sabrina,Mystery,Sci-Fi & Fantasy,Drama,,,8.4,"witch,high school,black magic,based on comic,teenager,witchcraft"
89247,Batwoman,Action & Adventure,Sci-Fi & Fantasy,Mystery,Crime,,7.3,"hero,dc comics,superhero,based on comic"
86382,The Stand,Sci-Fi & Fantasy,Drama,,,,7.2,"based on novel or book,wilderness,horror,remake,plague survivors,post apocalypse"
1399,Game of Thrones,Sci-Fi & Fantasy,Drama,Action & Adventure,Mystery,War & Politics,8.4,"based on novel or book,kingdom,dragon,king,intrigue,fantasy world"
18165,The Vampire Diaries,Drama,Fantasy,Horror,Romance,,8.3,"witch,based on novel or book,love triangle,vampire,supernatural,eternal youth,werewolf,supernatural creature,doppelgänger,eternal love,interspecies romance,based on young adult novel"
46260,Naruto,Animation,Action & Adventure,Sci-Fi & Fantasy,,,8.4,"martial arts,hero,rivalry,ninja,orphan,based on manga,super power,tragic past,dead parents,angst,warrior,japanese mythology,ninja warrior,shounen,anime"
82883,The Act,Drama,Crime,Mystery,,,7.5,"biography,based on a true story,trial,anthology,thriller,tribunal,true crime,munchausen syndrome by proxy"
60735,The Flash,Drama,Sci-Fi & Fantasy,,,,7.6,"dc comics,superhero,speed,based on comic,super power,masked superhero,supervillain"
44953,The Lord of the Skies,Crime,Drama,Soap,,,7.7,"drug traffic,drug cartel,drug lord,telenovela,1990s"
456,The Simpsons,Family,Animation,Comedy,Drama,,7.8,"cartoon,satire,nuclear power plant,parody,middle class,dysfunctional family,social satire"
76479,The Boys,Sci-Fi & Fantasy,Action & Adventure,,,,8.5,"superhero,based on comic"
48866,The 100,Sci-Fi & Fantasy,Drama,Action & Adventure,,,7.8,"based on novel or book,self-discovery,survivor,survival,apocalypse,team,nuclear catastrophe,based on young adult novel"
95479,Jujutsu Kaisen,Animation,Action & Adventure,Sci-Fi & Fantasy,,,8.5,"supernatural,exorcism,secret organization,horror,paranormal,tragedy,curse,student,based on manga,spirit,demon,school life,youkai,shounen,anime,cursed object,occultism"
1402,The Walking Dead,Action & Adventure,Drama,Sci-Fi & Fantasy,,,8,"post-apocalyptic future,gore,survivor,undead,based on comic,horror,survival,zombie"
88055,Servant,Drama,,,,,7.7,"horror,psychological thriller"
67335,Sin senos sí hay paraíso,Action & Adventure,Crime,Drama,Mystery,,7.5,telenovela
89393,9-1-1: Lone Star,Drama,Action & Adventure,Crime,,,8.1,"spin off,austin, texas,firefighter"
4604,Smallville,Sci-Fi & Fantasy,Action & Adventure,Drama,,,8.1,"dc comics,superhero,kansas,based on comic,alien,super power,origin story,superman"
62286,Fear the Walking Dead,Action & Adventure,Drama,,,,7.6,"post-apocalyptic future,surreal,based on comic,horror,survival,spin off,death,land,zombie apocalypse,survive,survivors"
93741,Jurassic World: Camp Cretaceous,Kids,Animation,Action & Adventure,,,7.8,"camp cretaceous,jurrassic world"
12637,Rebelde,Comedy,Soap,Drama,,,8.5,telenovela
66732,Stranger Things,Sci-Fi & Fantasy,Mystery,Drama,,,8.6,"friendship,monster,experiment,supernatural,telekinesis,horror,role playing,psychological thriller,parallel world,missing person,missing child,government conspiracy,1980s"
1429,Attack on Titan,Animation,Sci-Fi & Fantasy,War & Politics,Mystery,,8.7,"dystopia,giant monster,coup d'etat,based on manga,super power,family tragedy,devastation,against the odds,seinen,shounen,anime,titans"
76669,Elite,Crime,Mystery,Drama,,,8.2,lgbt
87739,The Queen's Gambit,Drama,,,,,8.7,"chess,orphanage,feminism,addiction,orphan,substance abuse,1960s"
71446,Money Heist,Crime,Drama,,,,8.3,"stockholm syndrome,spain,perfect crime,professor,heist,flashback,sexual tension,bank robbery,hostage situation,tunnel"
110316,Alice in Borderland,Drama,Mystery,Action & Adventure,Sci-Fi & Fantasy,,8.4,"supernatural,survival,psychological thriller,based on manga"
1622,Supernatural,Drama,Mystery,Sci-Fi & Fantasy,,,8.2,"monster,angel,supernatural,exorcism,paranormal phenomena,horror,paranormal,demon,ghost,demon hunter,winchester"
82395,The Liar,Reality,,,,,3,"game show,trivia,lying"
12971,Dragon Ball Z,Animation,Sci-Fi & Fantasy,Action & Adventure,,,8.2,"android,friendship,martial arts,japan,competition,cyborg,superhero,sequel,alien,anthropomorphism,end of the world,tournament,dragon,based on manga,fighting,combat,super power,shounen,humanoid,anime,genetic modification,time skip"
1396,Breaking Bad,Drama,,,,,8.7,"drug dealer,new mexico,terminal illness,outlaw,cancer,drugs,criminal,meth lab,high school teacher,dea agent,albuquerque,criminal lawyer,cartel"
2734,Law & Order: Special Victims Unit,Crime,Drama,,,,7.7,"new york city,police,lawyer,police detective,criminal investigation,sex crime"
85552,Euphoria,Drama,,,,,8.5,"high school,sexuality,addiction,coming of age,teenager,drugs,transgender,mental illness,lgbt"
81356,Sex Education,Comedy,Drama,,,,8.3,"small town,england,sex therapy,school,teenage sexuality,lgbt,lgbt teen,sex comedy,black lgbt,sex therapist,teenage protagonist"
96648,Sweet Home,Sci-Fi & Fantasy,Drama,,,,8.6,"based on comic,horror,thriller,apartment"
58841,Chicago P.D.,Crime,Drama,,,,8.3,"chicago, illinois,police,spin off,crime investigation"
5920,The Mentalist,Crime,Drama,Mystery,,,8.4,"california,con man,cop,serial killer,criminal investigation,forensic psychology,criminal consultant,police procedural"
31910,Naruto Shippūden,Animation,Action & Adventure,Sci-Fi & Fantasy,,,8.6,"hero,fight,villain,sequel,ninja,teenager,based on manga,martial arts master,martial artist,teenage boy,teenage hero,ninjitsu,ninja warrior,shounen,anime"
44006,Chicago Fire,Drama,,,,,8.3,"chicago, illinois,fire brigade,paramedic,crime investigation,firefighter"
89844,30 Coins,Crime,Mystery,Drama,,,6.8,"vatican,religion and supernatural,exorcism"
1911,Bones,Crime,Drama,,,,8.2,"washington d.c.,fbi,crime lab,forensic science,murder investigation,crime investigation,forensic archaeology"
